"date"	"U200"	"T200"	"Vwmin"	"Vwmax"	"Vwsred"	"Kwmin"	"Kwmax"	"Kwsred"	"Zas"	"Vzas"	"T5"	"T5max"	"T5min"	"Op"	"Press"	"Level"	"Irr_dur"	"U200"	"T200"	"Press"	"Op"	"Irr_dur"	"T5"	"Level"	"T5min"	"T5max"	"Vwmax"	"Vwsred"	"Vwmin"	"Kwsred"	"Kwmax"	"Kwmin"	"Zas"	"Vzas"
"2021-01-01 00:00:00"	   101	   1,9	   0,0	   2,6	   1,3	   264	    33	   338	     1	  12,8	   1,6	   1,7	   1,5	   0,0	   988	     0	     0	   101	   1,9	   988	   0,0	     0	   1,6	     0	   1,5	   1,7	   2,6	   1,3	   0,0	   338	    33	   264	     1	  12,8
"2021-01-01 00:10:00"	   101	   1,8	   0,0	   6,7	   1,7	   281	    33	   336	     1	  12,9	   1,5	   1,7	   1,5	   0,0	   988		     0	   101	   1,8	   988	   0,0	     0	   1,5		   1,5	   1,7	   6,7	   1,7	   0,0	   336	    33	   281	     1	  12,9
"2021-01-01 00:20:00"	   101	   2,0	   0,2	   5,0	   1,3	   270	    45	   334	     1	  12,8	   1,5	   1,7	   1,5	   0,0	   988	     0	     0	   101	   2,0	   988	   0,0	     0	   1,5	     0	   1,5	   1,7	   5,0	   1,3	   0,2	   334	    45	   270	     1	  12,8
"2021-01-01 00:30:00"	   101	   1,8	   0,3	   5,4	   1,3	   270	    39	   344	     1	  12,8	   1,5	   1,6	   1,5	   0,0	   988	     0	     0	   101	   1,8	   988	   0,0	     0	   1,5	     0	   1,5	   1,6	   5,4	   1,3	   0,3	   344	    39	   270	     1	  12,8
"2021-01-01 00:40:00"	   102	   1,8	   0,0	   3,1	   1,0	   275	    50	   339	     1	  12,8	   1,5	   1,6	   1,4	   0,0	   988	     0	     0	   102	   1,8	   988	   0,0	     0	   1,5	     0	   1,4	   1,6	   3,1	   1,0	   0,0	   339	    50	   275	     1	  12,8
"2021-01-01 00:50:00"	   101	   1,9	   0,3	   5,8	   1,7	   286	    39	   342	     1	  12,9	   1,5	   1,6	   1,4	   0,0	   988	     0	     0	   101	   1,9	   988	   0,0	     0	   1,5	     0	   1,4	   1,6	   5,8	   1,7	   0,3	   342	    39	   286	     1	  12,9
"2021-01-01 01:00:00"	   102	   1,8	   0,0	   3,0	   1,2	   264	    95	   329	     1	  12,8	   1,5	   1,6	   1,4	   0,0	   988	     0	     0	   102	   1,8	   988	   0,0	     0	   1,5	     0	   1,4	   1,6	   3,0	   1,2	   0,0	   329	    95	   264	     1	  12,8
"2021-01-01 01:10:00"	   102	   1,8	   0,0	   3,5	   1,2	   247	    28	   333	     1	  12,8	   1,4	   1,6	   1,3	   0,1	   988	     0	     0	   102	   1,8	   988	   0,1	     0	   1,4	     0	   1,3	   1,6	   3,5	   1,2	   0,0	   333	    28	   247	     1	  12,8
"2021-01-01 01:20:00"	   102	   1,8	   0,0	   3,6	   1,1	   292	    50	   331	     1	  12,8	   1,4	   1,5	   1,3	   0,0	   988	     0	     0	   102	   1,8	   988	   0,0	     0	   1,4	     0	   1,3	   1,5	   3,6	   1,1	   0,0	   331	    50	   292	     1	  12,8
"2021-01-01 01:30:00"	   100	   1,8	   0,0	   6,1	   1,3	   275	    33	   329	     1	  12,9	   1,4	   1,5	   1,3	   0,1	   988	     0	     0	   100	   1,8	   988	   0,1	     0	   1,4	     0	   1,3	   1,5	   6,1	   1,3	   0,0	   329	    33	   275	     1	  12,9
